"","x"
"1388","PSMA4"
"1389","HLA-DPA1"
"1390","VCAN"
"1391","HHLA2"
"1392","SULF2"
"1393","MYO10"
"1394","LIMA1"
"1395","CEACAM1"
"1396","FSTL4"
"1397","SEPT3"
"1398","HLA-DPB1"
"1399","ADCY5"
"1400","LAT2"
"1401","UFC1"
"1402","PKM"
"1403","SHISA5"
"1404","HOMER2"
"1405","RAB1A"
"1406","EIF5"
"1407","APOBEC3C"
"1408","CCL28"
"1409","HLA-DQB1"
"1410","RAB10"
"1411","FAM171A1"
"1412","CDO1"
"1413","CALB1"
"1414","GPRASP1"
"1415","AEBP1"
"1416","BAAT"
"1417","PSMD14"
"1418","TMEM179"
"1419","VAT1L"
"1420","AQP8"
"1421","ALDOA"
"1422","NOTCH3"
"1423","TMEM51"
"1424","FUCA2"
"1425","DNAJA1"
"1426","C6orf1"
"1427","DBNDD1"
"1428","APEX1"
"1429","SLC38A3"
"1430","CYB5R3"
"1431","CCL20"
"1432","SV2A"
"1433","FBXO7"
"1434","RIPK2"
"1435","MLEC"
"1436","IFITM1"
"1437","COL5A1"
"1438","LRRC41"
"1439","TCN2"
"1440","VAV3"
"1441","PHLDB1"
"1442","SLITRK6"
"1443","RCAN2"
"1444","CALU"
"1445","MYL9"
"1446","TNFAIP3"
"1447","ACHE"
"1448","ATP5O"
"1449","RHOA"
"1450","SLC15A1"
"1451","SLC39A5"
"1452","TXNDC11"
"1453","NUAK2"
"1454","C6orf62"
"1455","SYPL1"
"1456","JAKMIP1"
"1457","MRPS18B"
"1458","ATP5C1"
"1459","TJP3"
"1460","F2R"
"1461","TRIB1"
"1462","TRAPPC4"
"1463","SLC16A3"
"1464","MAL2"
"1465","MYOF"
"1466","NT5DC3"
"1467","ALOX5"
"1468","EMC10"
"1469","GNPDA1"
"1470","CAV1"
"1471","TENM3"
"1472","PLVAP"
"1473","TGFA"
"1474","FAM213A"
"1475","SRPR"
"1476","BCHE"
"1477","KLHL3"
"1478","HTATIP2"
"1479","MAT1A"
"1480","CDX2"
"1481","HDHD3"
"1482","KCNJ15"
"1483","CIRBP"
"1484","SCRN1"
"1485","CNBP"
"1486","GPR108"
"1487","PSMB9"
"1488","PRKCDBP"
"1489","SCN3B"
"1490","CRTAC1"
"1491","MYO3A"
"1492","TMEM132A"
"1493","BCKDK"
"1494","IL18BP"
"1495","LOC100862671"
"1496","ABCG1"
"1497","EPHA2"
"1498","AKAP13"
"1499","GABARAPL2"
"1500","CALM1"
"1501","GRM4"
"1502","PLAT"
"1503","TGFB1I1"
"1504","CTRL"
"1505","CTNND2"
"1506","TMEM109"
"1507","CIART"
"1508","LEPREL2"
"1509","SEP15"
"1510","THBS2"
"1511","ASXL3"
"1512","B4GALT1"
"1513","COPB1"
"1514","CANX"
"1515","C15orf52"
"1516","ABCB1"
"1517","TNFRSF11B"
"1518","LSR"
"1519","FBLIM1"
"1520","MCCC1"
"1521","DBI"
"1522","ATP11A"
"1523","AKAP9"
"1524","FAT1"
"1525","ACSS1"
"1526","LINC00673"
"1527","KLHDC8B"
"1528","FIBP"
"1529","BCL6"
"1530","TMPRSS3"
"1531","ARSA"
"1532","TMEM27"
"1533","UNC80"
"1534","IP6K2"
"1535","ORMDL2"
"1536","GLS2"
"1537","FUT6"
"1538","QARS"
"1539","KIF5C"
"1540","MFGE8"
"1541","LINC00643"
"1542","SCP2"
"1543","KCNE4"
"1544","RAB36"
"1545","YWHAQ"
"1546","SDHB"
"1547","EIF3H"
"1548","CFH"
"1549","VPS25"
"1550","ERRFI1"
"1551","ITIH4"
"1552","EPDR1"
"1553","COPA"
"1554","PCDHB4"
"1555","DEGS2"
"1556","NAT16"
"1557","SRXN1"
"1558","TMEM173"
"1559","RHOBTB3"
"1560","CNNM1"
"1561","SOCS2"
"1562","COPG1"
"1563","SPCS1"
"1564","PCDH9"
"1565","VAMP2"
"1566","ZAK"
"1567","UBE2QL1"
"1568","H3F3B"
"1569","PSMB3"
"1570","MLPH"
"1571","AMT"
"1572","RAB2A"
"1573","SLC38A5"
"1574","GOT2"
"1575","NIPSNAP1"
"1576","WDR13"
"1577","ADAMTS1"
"1578","FOLR1"
"1579","CARD11"
"1580","GREM1"
"1581","SLC7A14"
"1582","SLC17A4"
"1583","EMC7"
"1584","LRRC32"
"1585","TOB1"
"1586","TM7SF3"
"1587","LPPR2"
"1588","ITFG3"
"1589","TARS"
"1590","GABARAPL1"
"1591","PRDX2"
"1592","PIM1"
"1593","PSMC4"
"1594","C21orf58"
"1595","RPS6KA2"
"1596","PRCP"
"1597","WDR34"
"1598","ARF1"
"1599","SLC1A4"
"1600","APOA1BP"
"1601","HM13"
"1602","PLD1"
"1603","SERPINI2"
"1604","ATXN7L3B"
"1605","THBD"
"1606","UBQLN1"
"1607","GPC6"
"1608","TP53I3"
"1609","GYLTL1B"
"1610","DAP"
"1611","PARVA"
"1612","PFKFB4"
"1613","TXN2"
"1614","MCOLN3"
"1615","CP"
"1616","RAB20"
"1617","SPATA20"
"1618","PSMB4"
"1619","PSMB2"
"1620","GLT8D2"
"1621","LRP1"
"1622","GPT2"
"1623","FLII"
"1624","SMARCA2"
"1625","SLC12A7"
"1626","COX8A"
"1627","FFAR1"
"1628","CD40"
"1629","DAD1"
"1630","RND1"
"1631","CTSK"
"1632","COPZ1"
"1633","SVOP"
"1634","COL15A1"
"1635","NSG1"
"1636","LAMC1"
"1637","GDA"
"1638","NCAM1"
"1639","WDR6"
"1640","TREX1"
"1641","ACAA2"
"1642","PRPF8"
"1643","CPT1C"
"1644","JAM3"
"1645","SQRDL"
"1646","BAMBI"
"1647","SUCLG1"
"1648","ARSE"
"1649","CDHR5"
"1650","ADIPOR1"
"1651","GPR110"
"1652","IL15RA"
"1653","PAK3"
"1654","CYB5R1"
"1655","TAPBP"
"1656","CST3"
"1657","TMED1"
"1658","PI4KB"
"1659","SEPHS2"
"1660","YWHAB"
"1661","PHPT1"
"1662","PFKM"
"1663","PAIP2"
"1664","NFKBIE"
"1665","CXorf57"
"1666","LASP1"
"1667","KCNQ2"
"1668","JSRP1"
"1669","ARID5A"
"1670","NISCH"
"1671","ME1"
"1672","MSC"
"1673","DPAGT1"
"1674","TFF3"
"1675","C1orf216"
"1676","RHPN2"
"1677","CALR"
"1678","ADAMTS9"
"1679","ITGA1"
"1680","RRBP1"
"1681","DCXR"
"1682","TMEM41A"
"1683","RAB7A"
"1684","NPC2"
"1685","NRSN2"
"1686","PIGY+PYURF"
"1687","CDK16"
"1688","TMEM25"
"1689","TALDO1"
"1690","TMEM178B"
"1691","DNER"
"1692","GUSB"
"1693","EMC4"
"1694","ACSS2"
"1695","PLBD1"
"1696","CLIP3"
"1697","ISLR"
"1698","TBC1D30"
"1699","DPYSL3"
"1700","PSMD13"
"1701","ITIH5"
"1702","FOXJ1"
"1703","GLA"
"1704","TMEM8A"
"1705","MLXIP"
"1706","STRAP"
"1707","CD68"
"1708","LTBP4"
"1709","TMEM163"
"1710","TMEM208"
"1711","EMP3"
"1712","HNRNPA2B1"
"1713","MYO1E"
"1714","TSPAN33"
"1715","RAB32"
"1716","BPGM"
"1717","CHMP2A"
"1718","PTGFRN"
"1719","CELSR3"
"1720","DYNLT1"
"1721","AHCY"
"1722","CPNE1"
"1723","CYGB"
"1724","BST2"
"1725","UPP1"
"1726","FGG"
"1727","SNX11"
"1728","LEFTY1"
"1729","SLC6A9"
"1730","PSMD1"
"1731","BCAP31"
"1732","LAMA4"
"1733","TRIM9"
"1734","IDH3G"
"1735","COL5A2"
"1736","ZBED6CL"
"1737","GDAP1L1"
"1738","GPC1"
"1739","ACAT2"
"1740","PEBP1"
"1741","ANXA10"
"1742","SARDH"
"1743","MAP2"
"1744","KIF5B"
"1745","TMED9"
"1746","TRIM21"
"1747","APCDD1L"
"1748","PSME3"
"1749","TACC1"
"1750","COX7A2L"
"1751","DPH2"
"1752","LMNA"
"1753","CHST4"
"1754","DNASE2"
"1755","BNIP3L"
"1756","CD58"
"1757","STK17A"
"1758","SYBU"
"1759","NPHP4"
"1760","DBP"
"1761","POLD4"
"1762","PLXNA2"
"1763","CPA4"
"1764","LY6H"
"1765","TNFRSF11A"
"1766","SSTR3"
"1767","TGOLN2"
"1768","TMCO1"
"1769","GULP1"
"1770","NCEH1"
"1771","ENPP5"
"1772","TNC"
"1773","SLC38A2"
"1774","CD72"
"1775","ADCK3"
"1776","ARFIP2"
"1777","RASSF1"
"1778","PAH"
"1779","SRRM2"
"1780","NOL4"
"1781","RAB15"
"1782","HILPDA"
"1783","CORO1C"
"1784","CAPN13"
"1785","VWA7"
"1786","MTUS2"
"1787","IFNGR1"
"1788","FGB"
"1789","TGFB2"
"1790","HSPG2"
"1791","FDPS"
"1792","RIPK4"
"1793","SLC35B1"
"1794","ZNF671"
"1795","FAM50B"
"1796","PHYHIPL"
"1797","LOC100422737"
"1798","CDKN2A"
"1799","RASSF6"
"1800","CPPED1"
"1801","ONECUT1"
"1802","SLC6A17"
"1803","SLC22A18"
"1804","BSG"
"1805","IFFO1"
"1806","JTB"
"1807","ROGDI"
"1808","CMTM8"
"1809","TSPYL4"
"1810","TMEM139"
"1811","CDK4"
"1812","PNMAL1"
"1813","SUMF1"
"1814","ST6GALNAC5"
"1815","ITFG1"
"1816","PRMT2"
"1817","TTC3"
"1818","DGAT2"
"1819","PDCD6"
"1820","EIF3L"
"1821","PSMA7"
"1822","ST18"
"1823","DYNC1I1"
"1824","FAM110B"
"1825","HUWE1"
"1826","TIAM1"
"1827","CXCL12"
"1828","ZNF574"
"1829","CLDN9"
"1830","TMEM179B"
"1831","DCTN1"
"1832","PACSIN2"
"1833","MAMLD1"
"1834","NRCAM"
"1835","SERPINB1"
"1836","CPNE4"
"1837","ENTPD6"
"1838","PMP22"
"1839","SEMA3E"
"1840","NR1H4"
"1841","MYRF"
"1842","DNAJC3"
"1843","MX1"
"1844","HPCAL1"
"1845","MTFP1"
"1846","HLA-DMB"
"1847","SOD1"
"1848","FAM107A"
"1849","PGM2L1"
"1850","GALK1"
"1851","EPHB6"
"1852","ANGPTL2"
"1853","ALAS1"
"1854","SIX3"
"1855","TMPRSS6"
"1856","MXRA8"
"1857","GATA4"
"1858","PSMB6"
"1859","CDH10"
"1860","IL1RN"
"1861","LRP11"
"1862","LPP"
"1863","GPX4"
"1864","MYO6"
"1865","ESAM"
"1866","KIAA0040"
"1867","MAPK10"
"1868","ARRDC2"
"1869","C6orf48"
"1870","EVA1A"
"1871","NEFM"
"1872","PFKL"
"1873","ATP5A1"
"1874","H2AFZ"
"1875","PEPD"
"1876","UROD"
"1877","OAZ2"
"1878","C3orf14"
"1879","PAMR1"
"1880","THSD4"
"1881","RRAS"
"1882","C3orf18"
"1883","ZC3HC1"
"1884","CAT"
"1885","RGL1"
"1886","LOXL2"
"1887","ATP8B1"
"1888","GYS1"
"1889","ARHGEF3"
"1890","CYP2U1"
"1891","ZNF143"
"1892","IL4R"
"1893","TNFAIP6"
"1894","ATP6V0B"
"1895","HS6ST3"
"1896","IL20RA"
"1897","PARK7"
"1898","DHRS7B"
"1899","UBA1"
"1900","CDH11"
"1901","LAMA3"
"1902","CMTM3"
"1903","FKBP5"
"1904","HCN3"
"1905","ERV3-1"
"1906","KCNC4"
"1907","HAAO"
"1908","GALNT14"
"1909","TSPAN14"
"1910","SH2D4A"
"1911","SH2D3A"
"1912","CELF3"
"1913","LDB2"
"1914","ITGA6"
"1915","SNAI2"
"1916","NARS"
"1917","SLC6A19"
"1918","MPZL2"
"1919","F5"
"1920","OPRD1"
"1921","DRAM1"
"1922","EFHC1"
"1923","LYPD1"
"1924","IFI16"
"1925","SPATA13"
"1926","GRB7"
"1927","AMER3"
"1928","ADCK1"
"1929","C1orf168"
"1930","STEAP3"
"1931","SFXN3"
"1932","FAM195B"
"1933","JKAMP"
"1934","SERTM1"
"1935","ARL4C"
"1936","FRAS1"
"1937","TTYH1"
"1938","HHATL"
"1939","WDR24"
"1940","SNCB"
"1941","NOP2"
"1942","FAM219B"
"1943","SMPDL3B"
"1944","SLC2A6"
"1945","PLA1A"
"1946","RTP4"
"1947","BSN"
"1948","REG4"
"1949","MYO1C"
"1950","TJP2"
"1951","ACTR1A"
"1952","TRIM5"
"1953","PVRL2"
"1954","KCNJ11"
"1955","CAPRIN1"
"1956","ARHGDIB"
"1957","AMY2A"
"1958","MT1M"
"1959","GALE"
"1960","SULF1"
"1961","TRIM32"
"1962","SIX2"
"1963","MFSD10"
"1964","TMCC3"
"1965","MAP6"
"1966","SPSB1"
"1967","CA8"
"1968","MOB3C"
"1969","C11orf96"
"1970","MAPT"
"1971","PIGV"
"1972","EARS2"
"1973","AKR7A2"
"1974","TNFRSF19"
"1975","NUCB1"
"1976","CES4A"
"1977","MT1F"
"1978","SSBP2"
"1979","CXCR4"
"1980","PAK6"
"1981","TOX"
"1982","VAPA"
"1983","RERG"
"1984","STAT4"
"1985","DAPK2"
"1986","LCP1"
"1987","NID1"
"1988","CES1"
"1989","ENPP1"
"1990","PLA2G15"
"1991","ALDH1B1"
"1992","DISP2"
"1993","TMEM86A"
"1994","KCNS3"
"1995","TTYH3"
"1996","ADAM15"
"1997","FGF13"
"1998","UPK1B"
"1999","MARCH6"
"2000","WIPI1"
