"","x"
"Cell356","5"
"Cell357","4"
"Cell358","1"
"Cell359","2"
"Cell360","10"
"Cell361","1"
"Cell362","2"
"Cell363","7"
"Cell364","1"
"Cell365","3"
"Cell366","7"
"Cell367","5"
"Cell368","2"
"Cell369","2"
"Cell370","1"
"Cell371","5"
"Cell372","6"
"Cell373","2"
"Cell374","1"
"Cell375","2"
"Cell376","5"
"Cell377","2"
"Cell378","1"
"Cell379","2"
"Cell380","1"
"Cell381","2"
"Cell382","3"
"Cell383","1"
"Cell384","4"
"Cell385","2"
"Cell386","3"
"Cell387","4"
"Cell388","1"
"Cell389","2"
"Cell390","1"
"Cell391","1"
"Cell392","2"
"Cell393","1"
"Cell394","3"
"Cell395","5"
"Cell396","1"
"Cell397","5"
"Cell398","6"
"Cell399","4"
"Cell400","1"
"Cell401","2"
"Cell402","1"
"Cell403","5"
"Cell404","3"
"Cell405","3"
"Cell406","2"
"Cell407","2"
"Cell408","5"
"Cell409","2"
"Cell410","2"
"Cell411","2"
"Cell412","1"
"Cell413","1"
"Cell414","1"
"Cell415","2"
"Cell416","3"
"Cell417","1"
"Cell418","2"
"Cell419","3"
"Cell420","1"
"Cell421","9"
"Cell422","8"
"Cell423","4"
"Cell424","1"
"Cell425","1"
"Cell426","7"
"Cell427","8"
"Cell428","3"
"Cell429","1"
"Cell430","4"
"Cell431","1"
"Cell432","2"
"Cell433","3"
"Cell434","4"
"Cell435","5"
"Cell436","4"
"Cell437","2"
"Cell438","2"
"Cell439","2"
"Cell440","2"
"Cell441","1"
"Cell442","1"
"Cell443","3"
"Cell444","2"
"Cell445","1"
"Cell446","2"
"Cell447","6"
"Cell448","1"
"Cell449","5"
"Cell450","7"
"Cell451","3"
"Cell452","1"
"Cell453","7"
"Cell454","4"
"Cell455","2"
"Cell456","1"
"Cell457","4"
"Cell458","4"
"Cell459","5"
"Cell460","3"
"Cell461","1"
"Cell462","1"
"Cell463","1"
"Cell464","4"
"Cell465","3"
"Cell466","5"
"Cell467","2"
"Cell468","10"
"Cell469","1"
"Cell470","3"
"Cell471","4"
"Cell472","1"
"Cell473","1"
"Cell474","2"
"Cell475","1"
"Cell476","3"
"Cell477","4"
"Cell478","4"
"Cell479","4"
"Cell480","3"
"Cell481","2"
"Cell482","1"
"Cell483","1"
"Cell484","6"
"Cell485","1"
"Cell486","5"
"Cell487","2"
"Cell488","2"
"Cell489","1"
"Cell490","1"
"Cell491","1"
"Cell492","6"
"Cell493","1"
"Cell494","3"
"Cell495","4"
"Cell496","3"
"Cell497","3"
"Cell498","2"
"Cell499","1"
"Cell500","5"
"Cell501","2"
"Cell502","3"
"Cell503","5"
"Cell504","2"
"Cell505","9"
"Cell506","9"
"Cell507","1"
"Cell508","7"
"Cell509","9"
"Cell510","8"
"Cell511","3"
"Cell512","9"
"Cell513","4"
"Cell514","1"
"Cell515","1"
"Cell516","6"
"Cell517","6"
"Cell518","1"
"Cell519","6"
"Cell520","7"
"Cell521","2"
"Cell522","9"
"Cell523","1"
"Cell524","4"
"Cell525","3"
"Cell526","2"
"Cell527","4"
"Cell528","5"
"Cell529","5"
"Cell530","7"
"Cell531","1"
"Cell532","3"
"Cell533","2"
"Cell534","2"
"Cell535","2"
"Cell536","2"
"Cell537","2"
"Cell538","1"
"Cell539","5"
"Cell540","1"
"Cell541","4"
"Cell542","2"
"Cell543","6"
"Cell544","3"
"Cell545","2"
"Cell546","2"
"Cell547","4"
